"","X","city08","cylinders","drive","fuelCost08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"7543",23499,23,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,16,"Ford","Fusion FWD","Y","false",0,100,0,0,0,0,0,"Automatic 6-spd",29,0,"Midsize Cars",2012,1250,"",NA,NA,"","","",""
"7544",23500,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,16,"Ford","Fusion FWD","N","false",0,100,0,0,0,0,0,"Automatic (S6)",27.3967,0,"Midsize Cars",2012,750,"",NA,NA,"","","",""
"7548",23504,41,4,"Front-Wheel Drive",1350,"Regular","Regular Gasoline",0,11,"Lincoln","MKZ Hybrid FWD","Y","false",0,99,0,0,0,0,0,"Automatic (variable gear ratios)",56.5,0,"Midsize Cars",2012,4500,"",NA,NA,"Hybrid","","","275V Ni-MH"
"7550",23506,27,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",0,13,"Nissan","Sentra","Y","false",0,97,0,0,0,0,0,"Automatic (variable gear ratios)",34.264,0,"Midsize Cars",2012,2500,"",NA,NA,"","","",""
"7552",23508,24,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,13,"Nissan","Sentra","N","false",0,97,0,0,0,0,0,"Auto(AV-S6)",30.1,0,"Midsize Cars",2012,1250,"",NA,NA,"","","",""
"7554",23512,23,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",0,15,"Nissan","Altima","Y","false",0,101,0,0,0,0,0,"Auto(AV-S6)",29.6877,0,"Midsize Cars",2012,1750,"",NA,NA,"","","",""
"7562",23520,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,16,"Hyundai","Sonata","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",28.4,0,"Large Cars",2012,1250,"",TRUE,NA,"","","",""
"7563",23522,24,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,16,"Hyundai","Sonata","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",30.2388,0,"Large Cars",2012,2000,"",NA,NA,"","","",""
"7630",23597,34,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",0,0,"Ford","Escape Hybrid FWD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",45.2,0,"Sport Utility Vehicle - 2WD",2012,3250,"",NA,NA,"Hybrid","","","330V Ni-MH"
"7728",23721,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,0,"Chevrolet","Equinox FWD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.3968,0,"Sport Utility Vehicle - 2WD",2012,1250,"",NA,NA,"","","",""
"7729",23722,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,0,"GMC","Terrain FWD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.3968,0,"Sport Utility Vehicle - 2WD",2012,1250,"",NA,NA,"","","",""
"7767",23785,25,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,19,"Chevrolet","Sonic 5","N","false",0,91,0,0,0,0,0,"Automatic (S6)",31.5,0,"Midsize Cars",2012,2000,"",NA,NA,"","","",""
"7864",23894,26,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",20,15,"Kia","Forte","Y","false",0,97,0,0,0,0,0,"Automatic 6-spd",32.8317,0,"Midsize Cars",2012,2250,"",NA,NA,"","","",""
"7866",23896,27,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",0,15,"Kia","Forte Eco","Y","false",0,97,0,0,0,0,0,"Automatic 6-spd",34.6391,0,"Midsize Cars",2012,2500,"",NA,NA,"","","",""
"7867",23897,23,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",20,15,"Kia","Forte","N","false",0,97,0,0,0,0,0,"Automatic 6-spd",29.1038,0,"Midsize Cars",2012,1250,"",NA,NA,"","","",""
"7869",23899,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,15,"Kia","Optima","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",28.4,0,"Midsize Cars",2012,1250,"",TRUE,NA,"","","",""
"7870",23900,24,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,15,"Kia","Optima","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",30.2796,0,"Midsize Cars",2012,2000,"",NA,NA,"","","",""
"7872",23902,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,13,"Mitsubishi","Galant","N","false",0,101,0,0,0,0,0,"Automatic (S4)",26.6699,0,"Midsize Cars",2012,500,"",NA,NA,"","","",""
"7879",23910,25,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,15,"Toyota","Camry","Y","false",0,103,0,0,0,0,0,"Automatic (S6)",31.58,0,"Midsize Cars",2012,2000,"",NA,NA,"","","",""
"7881",23912,51,4,"Front-Wheel Drive",1050,"Regular","Regular Gasoline",22,0,"Toyota","Prius","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",71.7588,0,"Midsize Cars",2012,6000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"7882",23913,22,5,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,16,"Volkswagen","Passat","Y","false",0,102,0,0,0,0,0,"Automatic (S6)",27.0213,0,"Midsize Cars",2012,750,"",NA,NA,"","","",""
"7902",23935,23,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",0,15,"Honda","Accord","Y","false",0,106,0,0,0,0,0,"Automatic 5-spd",28.6637,0,"Large Cars",2012,1750,"",NA,NA,"","","",""
"7947",23989,44,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",34,0,"Toyota","Prius v","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",59.873,0,"Midsize Station Wagons",2012,5000,"",NA,NA,"Hybrid","","","202V Ni-MH"
"8016",24066,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Ford","Edge FWD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",26.5,0,"Sport Utility Vehicle - 2WD",2012,500,"",TRUE,NA,"","","",""
"8031",24083,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Compass 2WD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",27.2,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"8032",24084,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Patriot 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",27.2,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"8033",24085,23,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Compass 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.8945,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"8034",24086,23,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Patriot 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.8945,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"8043",24096,23,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Mitsubishi","Outlander 2WD","N","false",0,0,0,0,0,0,0,"Auto(AV-S6)",28.6983,0,"Sport Utility Vehicle - 2WD",2012,750,"",NA,NA,"","","",""
"8185",24267,28,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",17,0,"Mazda","3 DI 5-Door","Y","false",0,0,0,0,0,0,0,"Automatic (S6)",36.3472,0,"Midsize Cars",2012,3250,"",NA,NA,"","","",""
"8191",24274,43,4,"Front-Wheel Drive",1250,"Regular","Regular Gasoline",0,13,"Toyota","Camry Hybrid LE","Y","false",0,103,0,0,0,0,0,"Automatic (variable gear ratios)",58.5479,0,"Midsize Cars",2012,5000,"",NA,NA,"Hybrid","","","245V Ni-MH"
"8192",24275,40,4,"Front-Wheel Drive",1300,"Regular","Regular Gasoline",0,13,"Toyota","Camry Hybrid XLE","Y","false",0,103,0,0,0,0,0,"Automatic (variable gear ratios)",55.0557,0,"Midsize Cars",2012,4750,"",NA,NA,"Hybrid","","","245V Ni-MH"
"8227",24314,23,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,0,"Honda","CR-V 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 5-spd",29.0933,0,"Sport Utility Vehicle - 2WD",2012,1250,"",NA,NA,"","","",""
"8230",24318,23,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Nissan","Rogue FWD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",29.1785,0,"Sport Utility Vehicle - 2WD",2012,750,"",NA,NA,"","","",""
"8253",24343,25,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",0,0,"Mitsubishi","Outlander Sport 2WD","N","false",0,0,0,0,0,0,0,"Auto(AV-S6)",31.6378,0,"Sport Utility Vehicle - 2WD",2012,1750,"",NA,NA,"","","",""
"8276",24376,34,4,"Front-Wheel Drive",1450,"Regular","Regular Gasoline",0,11,"Hyundai","Sonata Hybrid","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",47.2,0,"Midsize Cars",2012,4000,"",NA,NA,"Hybrid","","","270V Li-Ion"
"8277",24377,34,4,"Front-Wheel Drive",1450,"Regular","Regular Gasoline",0,10,"Kia","Optima Hybrid","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",46.8,0,"Midsize Cars",2012,4000,"",NA,NA,"Hybrid","","","270V Li-Ion"
"8286",24387,22,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Toyota","RAV4 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 4-spd",27.3,0,"Sport Utility Vehicle - 2WD",2012,500,"",NA,NA,"","","",""
"8298",24401,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Chevrolet","Malibu eAssist","Y","false",0,95,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"8313",24418,26,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,0,"Mazda","CX-5 2WD","Y","false",0,0,0,0,0,0,0,"Automatic (S6)",34.1482,0,"Small Sport Utility Vehicle 2WD",2013,2250,"",NA,NA,"","","",""
"8323",24429,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Ford","Edge FWD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",26.5,0,"Small Sport Utility Vehicle 2WD",2013,500,"",TRUE,NA,"","","",""
"8339",24447,28,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",0,15,"Hyundai","Elantra","Y","false",0,96,0,0,0,0,0,"Automatic 6-spd",37.8169,0,"Midsize Cars",2013,3250,"",NA,NA,"","","",""
"8341",24449,28,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",0,15,"Hyundai","Elantra Blue","Y","false",0,96,0,0,0,0,0,"Automatic 6-spd",38.6483,0,"Midsize Cars",2013,3250,"",NA,NA,"","","",""
"8342",24450,27,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,0,"Hyundai","Elantra Coupe","Y","false",95,0,0,0,0,0,0,"Automatic 6-spd",35.9599,0,"Midsize Cars",2013,3000,"",NA,NA,"","","",""
"8344",24452,21,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,17,"Mazda","6","N","false",0,102,0,0,0,0,0,"Automatic (S5)",27.1379,0,"Midsize Cars",2013,750,"",NA,NA,"","","",""
"8356",24465,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sorento 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.4,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8357",24467,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sorento 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",26.9,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8387",24506,27,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,19,"Chevrolet","Sonic 5","Y","false",0,91,0,0,0,0,0,"Automatic (S6)",35.1,0,"Midsize Cars",2012,3000,"",TRUE,NA,"","","",""
"8410",24545,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,16,"Hyundai","Sonata","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",28.4,0,"Large Cars",2013,1250,"",TRUE,NA,"","","",""
"8411",24546,24,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,16,"Hyundai","Sonata","Y","false",0,104,0,0,0,0,0,"Automatic 6-spd",30.2388,0,"Large Cars",2013,2000,"",NA,NA,"","","",""
"8433",24574,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Ford","Escape FWD","N","false",0,0,0,0,0,0,0,"Automatic (S6)",27.4,0,"Small Sport Utility Vehicle 2WD",2013,750,"",NA,NA,"","","",""
"8434",24575,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Ford","Escape FWD","Y","false",0,0,0,0,0,0,0,"Automatic (S6)",27.4,0,"Small Sport Utility Vehicle 2WD",2013,750,"",TRUE,NA,"","","",""
"8456",24609,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,13,"Buick","Regal eAssist","N","false",0,98,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"8457",24612,25,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",0,16,"Buick","LaCrosse eAssist","N","false",0,100,0,0,0,0,0,"Automatic (S6)",31.9796,0,"Midsize Cars",2013,2250,"",NA,NA,"Hybrid","","","115V Li-Ion"
"8502",24667,21,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Hyundai","Tucson 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.7,0,"Small Sport Utility Vehicle 2WD",2013,750,"",NA,NA,"","","",""
"8504",24669,22,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Hyundai","Tucson 2WD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.8,0,"Small Sport Utility Vehicle 2WD",2013,750,"",NA,NA,"","","",""
"8506",24671,21,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Kia","Sportage 2WD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.7302,0,"Small Sport Utility Vehicle 2WD",2013,750,"",NA,NA,"","","",""
"8508",24673,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Kia","Sportage 2WD","N","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.6,0,"Small Sport Utility Vehicle 2WD",2013,500,"",TRUE,NA,"","","",""
"8590",24767,26,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze Eco","Y","false",0,94,0,0,0,0,0,"Automatic 6-spd",33.7,0,"Midsize Cars",2013,3000,"",TRUE,NA,"","","",""
"8593",24770,26,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze","Y","false",0,94,0,0,0,0,0,"Automatic (S6)",33.3,0,"Midsize Cars",2013,2500,"",TRUE,NA,"","","",""
"8595",24772,22,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",0,16,"Chevrolet","Cruze","N","false",0,94,0,0,0,0,0,"Automatic (S6)",28.5,0,"Midsize Cars",2013,1750,"",NA,NA,"","","",""
"8640",24831,27,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,19,"Chevrolet","Sonic 5","N","false",0,91,0,0,0,0,0,"Automatic (S6)",35.1,0,"Midsize Cars",2013,3000,"",TRUE,NA,"","","",""
"8641",24834,24,4,"Front-Wheel Drive",1900,"Regular","Regular Gasoline",13,0,"Dodge","Dart","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",30.2,0,"Midsize Cars",2013,1750,"",NA,NA,"","","",""
"8642",24835,27,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",23,0,"Hyundai","Elantra GT","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",35.7907,0,"Midsize Cars",2013,2500,"",NA,NA,"","","",""
"8644",24837,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,15,"Kia","Optima","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",28.4,0,"Midsize Cars",2013,1250,"",TRUE,NA,"","","",""
"8645",24838,24,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,15,"Kia","Optima","Y","false",0,102,0,0,0,0,0,"Automatic 6-spd",30.2699,0,"Midsize Cars",2013,2000,"",NA,NA,"","","",""
"8647",24840,26,4,"Front-Wheel Drive",1800,"Regular","Regular Gasoline",20,15,"Kia","Forte","Y","false",0,97,0,0,0,0,0,"Automatic 6-spd",32.8317,0,"Midsize Cars",2013,2250,"",NA,NA,"","","",""
"8649",24842,27,4,"Front-Wheel Drive",1750,"Regular","Regular Gasoline",0,15,"Kia","Forte Eco","N","false",0,97,0,0,0,0,0,"Automatic 6-spd",34.6391,0,"Midsize Cars",2013,2500,"",NA,NA,"","","",""
"8650",24843,23,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",20,15,"Kia","Forte","N","false",0,97,0,0,0,0,0,"Automatic 6-spd",29.1038,0,"Midsize Cars",2013,1250,"",NA,NA,"","","",""
"8652",24846,27,4,"Front-Wheel Drive",1650,"Regular","Regular Gasoline",0,15,"Nissan","Altima","Y","false",0,102,0,0,0,0,0,"Auto(AV-S6)",35.2165,0,"Midsize Cars",2013,3000,"",NA,NA,"","","",""
"8730",24954,25,4,"Front-Wheel Drive",1850,"Regular","Regular Gasoline",0,19,"Chevrolet","Sonic 5","Y","false",0,91,0,0,0,0,0,"Automatic (S6)",31.5,0,"Midsize Cars",2013,2000,"",NA,NA,"","","",""
"8740",24965,22,5,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,16,"Volkswagen","Passat","Y","false",0,102,0,0,0,0,0,"Automatic (S6)",27.0219,0,"Midsize Cars",2013,750,"",NA,NA,"","","",""
"8760",24989,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,0,"Chevrolet","Equinox FWD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.3968,0,"Small Sport Utility Vehicle 2WD",2013,1250,"",NA,NA,"","","",""
"8765",24994,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,0,"GMC","Terrain FWD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",28.3968,0,"Small Sport Utility Vehicle 2WD",2013,1250,"",NA,NA,"","","",""
"8806",25044,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,20,"Ford","Taurus FWD","Y","false",0,102,0,0,0,0,0,"Automatic (S6)",28.3,0,"Large Cars",2013,1250,"",TRUE,NA,"","","",""
"8829",25072,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",35,0,"Hyundai","Santa Fe Sport 2WD","Y","false",0,0,0,0,0,0,0,"Automatic 6-spd",27.5,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8834",25078,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Patriot 2WD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",27.2,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8835",25079,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Compass 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",27.2,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8836",25080,22,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Compass 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.2,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8837",25081,22,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,0,"Jeep","Patriot 2WD","N","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",28.2,0,"Small Sport Utility Vehicle 2WD",2013,500,"",NA,NA,"","","",""
"8842",25086,23,4,"Front-Wheel Drive",2100,"Regular","Regular Gasoline",0,0,"Nissan","Rogue FWD","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",29.1787,0,"Small Sport Utility Vehicle 2WD",2013,750,"",NA,NA,"","","",""
"8966",25243,22,4,"Front-Wheel Drive",2000,"Regular","Regular Gasoline",0,16,"Chevrolet","Malibu","Y","false",0,95,0,0,0,0,0,"Automatic (S6)",28.3405,0,"Midsize Cars",2013,1250,"",NA,NA,"","","",""
"8969",25246,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,14,"Chrysler","200","N","false",0,100,0,0,0,0,0,"Automatic 4-spd",26.1,0,"Midsize Cars",2013,500,"",NA,NA,"","","",""
"8977",25255,21,4,"Front-Wheel Drive",2150,"Regular","Regular Gasoline",0,13,"Dodge","Avenger","N","false",0,100,0,0,0,0,0,"Automatic 4-spd",26.1,0,"Midsize Cars",2013,500,"",NA,NA,"","","",""
"8979",25257,28,4,"Front-Wheel Drive",1600,"Regular","Regular Gasoline",17,0,"Mazda","3 DI 5-Door","Y","false",0,0,0,0,0,0,0,"Automatic (S6)",36.3317,0,"Midsize Cars",2013,3250,"",NA,NA,"","","",""
"9006",25289,42,4,"Front-Wheel Drive",1300,"Regular","Regular Gasoline",0,24,"Ford","C-MAX Hybrid FWD","Y","false",0,100,0,0,0,0,0,"Automatic (variable gear ratios)",60.4817,0,"Large Cars",2013,4750,"",NA,NA,"Hybrid","","","280V Li-Ion"
